review,aspect,sentiment,opinion
there no option to connect with support team just ai generated queries and that also not helpful.. I am facing a problem with payment issue but there no way to contact the driver of that specific ride niether there is any option to get my issue resolved.. worst app,app,neutral,
Excellent app,app,neutral,
Price hike before Thanksgiving. Ridiculous.,fare,neutral,
Better then any other app honesty,app,neutral,
Was faster than other apps...,app,neutral,
Best app ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜˜,app,neutral,
I am lost my item i want find driver connect no but he is not provide connect no,driver,neutral,
Great service,service,positive,good/great/nice
Excellent service. Ontime picked up,service,positive,good/great/nice
Very nice service,service,positive,good/great/nice
Good service ðŸ‘ðŸ»,service,positive,good/great/nice
Not happy on of your delivery people missed place order,app,neutral,
Have been booking rides in Uber almost daily since last October/November. Observed not only booking amount going up significantly but also drop in service quality overall. Honestly a very dissatisfied customer. I don't know if that matters to Uber. Have complained through other official channels as well.,service,neutral,
Nice app,app,neutral,
App crashed often... Predominantly using LYFT now,app,negative,slow/crash
"Terrible app for people with Adhd or tend to be forgetful!!!!!!! I left something brand new in a taxi and I had to PAY Â£20 to get it back! Not only that, once your trips ended you can no longer contact them to let them know!! They 10000% would have kept it, no doubt in my mind, and it was for work and was expensive, I do not recommend the prices go up and down like crazy yes it's good when it's cheap but its not good when it goes to 58 pound for a Â£15 trip! They seemed nice in the car till that",fare,negative,high/expensive
"Terrible app for people with Adhd or tend to be forgetful!!!!!!! I left something brand new in a taxi and I had to PAY Â£20 to get it back! Not only that, once your trips ended you can no longer contact them to let them know!! They 10000% would have kept it, no doubt in my mind, and it was for work and was expensive, I do not recommend the prices go up and down like crazy yes it's good when it's cheap but its not good when it goes to 58 pound for a Â£15 trip! They seemed nice in the car till that",app,neutral,
Affordable price,fare,positive,cheap/reasonable
Good app,app,neutral,
Excellent service and ride,service,positive,good/great/nice
"I can't even log into my account anymore cuz a driver decided I'm a minor and blocked me, I have a full beard for the record",driver,neutral,
Good service... Right time pic & Drop to distance...,service,positive,good/great/nice
Worst app Auto and cab not available at night whenever needed Shows long waiting time,app,neutral,
Worst app Auto and cab not available at night whenever needed Shows long waiting time,waiting time,negative,waiting
Worst app made me miss my flight cause it wouldn't send the driver to my location had to get lyft,driver,neutral,
Worst app made me miss my flight cause it wouldn't send the driver to my location had to get lyft,app,neutral,
"This app is great. Four stars because I wish I didn't get notifications when I have the app open. I'm already in the app, just put the message on my window please. I open the notification and lose my page. Soon it seems I have multiple Uber pages open and am not sure which is the most current.",app,neutral,
"The app is good, but I don't know why I'm not able to use the pay later option and I've contacted the customer care many times for this but got no response whatsoever",app,neutral,
"I'll start off by saying I have used them for about three weeks and every time I go 5 miles into town it is 22$ to $30. I got on Lyft today and both rides I needed today were $10-13 cheaper. Also you should know that Uber has taken down their customer support phone number, so you will have to deal with a live chat and that's hit or miss ( mostly misses). Hopefully that will help you decide if this app is suitable for you.",app,neutral,
"Wrost app i made a payment and it still shows unpaid i took help of customer care give all the details but no resolution give by them. Fraud app, That' why you will never in top cruse you",app,neutral,
I am happy,app,neutral,
Good work. Affordable convenient top notch services,service,positive,good/great/nice
"Review for Uber EATS only. Do not use Uber Eats as opposed to other delivery services. Delivery drivers accept your order, then proceed to not deliver your order but to run personal errands or deliver for other services (Uber Eats GPS shows their location). There is no time limit for the deliver drivers so they can choose how long to take to deliver your order. You may wait 20 minutes, or 2 hours, it's up to them. I had two delivery drivers accept my order and then drive miles away. Do not use",driver,neutral,
"Review for Uber EATS only. Do not use Uber Eats as opposed to other delivery services. Delivery drivers accept your order, then proceed to not deliver your order but to run personal errands or deliver for other services (Uber Eats GPS shows their location). There is no time limit for the deliver drivers so they can choose how long to take to deliver your order. You may wait 20 minutes, or 2 hours, it's up to them. I had two delivery drivers accept my order and then drive miles away. Do not use",service,neutral,
This is the worst app. Customer support is non existent. Its absolute garbage. If you use this app keep a close eye on your bank and cards because it is riddled with scammers and there is no support to help you if you lose money to a scammer. Users Beware.,app,neutral,
price dikh hai lakin aap khulne me bahut time lagata hai,fare,neutral,
10-30 minutes waiting time still no cab was booked. What's the use of such low rates if no one was to come. Very poor service.,service,negative,bad/poor/worst
10-30 minutes waiting time still no cab was booked. What's the use of such low rates if no one was to come. Very poor service.,waiting time,negative,waiting
Very good driver,driver,neutral,
"Today one horrible experience I faced ...I booked one Uber go for one operation patient drop off...but after 20mins waiting driver named Tarun sarker forced me to cancel my ride...I requested him several times telling the condition of my operation patient...he tell rudely ""apni ja paren Amar korun ami jabona"" and forced me to cancel the trip.what type of nonsense behavior is this? I never expect such type of rude behavior from Uber drivers.",driver,negative,rude/late/slow/unprofessional
"Today one horrible experience I faced ...I booked one Uber go for one operation patient drop off...but after 20mins waiting driver named Tarun sarker forced me to cancel my ride...I requested him several times telling the condition of my operation patient...he tell rudely ""apni ja paren Amar korun ami jabona"" and forced me to cancel the trip.what type of nonsense behavior is this? I never expect such type of rude behavior from Uber drivers.",waiting time,negative,waiting
Debits money before securing a driver,driver,neutral,
First time user - great service,service,positive,good/great/nice
"Thanks Uber for the kindness of your service in lille France when we were left behind by our coach, On a way day for from Kent England. Xx my gratitude for the courtesy of your driver.",driver,neutral,
"Thanks Uber for the kindness of your service in lille France when we were left behind by our coach, On a way day for from Kent England. Xx my gratitude for the courtesy of your driver.",service,neutral,
Excellent driver,driver,neutral,
I was quoted one price and charged more. Going back to Lyft,fare,neutral,
I can really appreciate the specifications and options offered for rates and time. I'm 45 and I remember waiting 40 minutes at the least for a cab with no options of seating room and every car feeling like the back seat of a cop cruiser. We have truly advanced in some areas of living and this is one of those things.,app,neutral,
I can really appreciate the specifications and options offered for rates and time. I'm 45 and I remember waiting 40 minutes at the least for a cab with no options of seating room and every car feeling like the back seat of a cop cruiser. We have truly advanced in some areas of living and this is one of those things.,waiting time,negative,waiting
Excellent service ðŸ‘,service,positive,good/great/nice
"Really disappointed!! Bought uber one but it's really waste of money cause I'm not saving anything here instead paying more just checked the prices on other locations the price is difference is noticeably, I uber one user is paying more... Other app was asking 202,211 but here uber is asking 254 after 10% credits it's still more than other apps",fare,neutral,
"Really disappointed!! Bought uber one but it's really waste of money cause I'm not saving anything here instead paying more just checked the prices on other locations the price is difference is noticeably, I uber one user is paying more... Other app was asking 202,211 but here uber is asking 254 after 10% credits it's still more than other apps",app,neutral,
Nice service at affordable price in KSA.,fare,positive,cheap/reasonable
Nice service at affordable price in KSA.,service,positive,good/great/nice
Osm app fantastic ðŸ˜Švery fast driving osm ðŸ‘ðŸ˜Š,app,neutral,
Very good Uber driver. It would be more useful if the app can provide a portion to note child seats and boosters and or bags carried. It will give driver a good understanding of whether things will fit or not. My driver was very generous and helpful in a lovely way benefited the family travel to Airport.,driver,neutral,
Very good Uber driver. It would be more useful if the app can provide a portion to note child seats and boosters and or bags carried. It will give driver a good understanding of whether things will fit or not. My driver was very generous and helpful in a lovely way benefited the family travel to Airport.,app,neutral,
"Excellent, clean cars , kind drivers ,with Uber we can go",driver,neutral,
4 days ago I requested a cash trip for my mom. The driver was given cash but I still had the amount owing on my account. This amount which was already paid affected my next trip which resulted in me having to settle it before I could request a trip. I paid for a single trip twice. After multiple escalations to Uber this issue remains unresolved with agents advising that it has been resolved. This is unacceptable as I have never had any driver steal my moneyðŸ¤¬ðŸ˜¡ðŸ˜¤ I don't recommend Uber at allðŸ˜¡,driver,neutral,
worst & scam app. Customer ko kam price dikhakar location ke pohochane ke baad jyada paise demand karte hai driver .. Worst app. Please don't install this scam & useless app. This is the 2nd time jab driver ne jyada paise liye hain.ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ˜­.. Uninstalling this useless app. ðŸ˜¡ðŸ˜“,driver,neutral,
worst & scam app. Customer ko kam price dikhakar location ke pohochane ke baad jyada paise demand karte hai driver .. Worst app. Please don't install this scam & useless app. This is the 2nd time jab driver ne jyada paise liye hain.ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ˜­.. Uninstalling this useless app. ðŸ˜¡ðŸ˜“,fare,neutral,
worst & scam app. Customer ko kam price dikhakar location ke pohochane ke baad jyada paise demand karte hai driver .. Worst app. Please don't install this scam & useless app. This is the 2nd time jab driver ne jyada paise liye hain.ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ˜­.. Uninstalling this useless app. ðŸ˜¡ðŸ˜“,app,neutral,
Don't install this uber app.. totally waste of time because drivers no one accepting online payment but you are giving online discount then why this offer ... And there is complaint number and customer service... Totaly waste service.. without proper customer service then why you running this service...I can't able to complaint against drivers and no one giving proper solution.. so please give me any suggestions to provide before one star so that I will minus star to this worst service,driver,neutral,
Don't install this uber app.. totally waste of time because drivers no one accepting online payment but you are giving online discount then why this offer ... And there is complaint number and customer service... Totaly waste service.. without proper customer service then why you running this service...I can't able to complaint against drivers and no one giving proper solution.. so please give me any suggestions to provide before one star so that I will minus star to this worst service,app,neutral,
Don't install this uber app.. totally waste of time because drivers no one accepting online payment but you are giving online discount then why this offer ... And there is complaint number and customer service... Totaly waste service.. without proper customer service then why you running this service...I can't able to complaint against drivers and no one giving proper solution.. so please give me any suggestions to provide before one star so that I will minus star to this worst service,service,negative,bad/poor/worst
make app user friendly.one can understand easily,app,neutral,
On time u reached the location Fast service,service,neutral,
